"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"230","Greg McKegg\mckeggr01",26,"CAR","C",41,6,5,11,0.0675938464114783
"248","Ryan O'Reilly\oreilry01",27,"STL","C",82,28,49,77,0.0659678059030219
"139","Kevin Hayes\hayeske01",26,"TOT","RW",71,19,36,55,0.0657228864245813
"213","Matt Luff\luffma01",21,"LAK","RW",33,8,3,11,0.0647434264385194
"333","Vladimir Tarasenko	arasvl01",27,"STL","RW",76,33,35,68,0.0640207757556299
"272","Jason Pominville\pominja01",36,"BUF","RW",73,16,15,31,0.0634862187479951
"86","Brandon Dubinsky\dubinbr01",32,"CBJ","C",61,6,8,14,0.0623441441896065
"121","Zemgus Girgensons\girgeze01",25,"BUF","C",72,5,13,18,0.0604106865294615
"179","Alex Killorn\killoal01",29,"TBL","C",82,18,22,40,0.059324807431871
"103","Micheal Ferlanderlami01",26,"CAR","LW",71,17,23,40,0.0555467385359766
"251","Alex Ovechkin\ovechal01",33,"WSH","LW",81,51,38,89,0.0544841367518871
"172","Ondrej Kase\kaseon01",23,"ANA","RW",30,11,9,20,0.0532719413549911
"268","Elias Pettersson\petteel01",20,"VAN","C",71,28,38,66,0.0530279244209554
"79","Jason Dickinson\dickija01",23,"DAL","C",67,6,16,22,0.0529250317016166
"345","Jonathan Toews	oewsjo01",30,"CHI","C",82,35,46,81,0.0513719591675001
"338","Robert Thomas	homaro01",19,"STL","C",70,9,24,33,0.050568276324525
"199","Scott Laughton\laughsc01",24,"PHI","C",82,12,20,32,0.0504373354483749
"332","Brandon Tanev	anevbr01",27,"WPG","LW",80,14,15,29,0.0504148653023724
"372","Mika Zibanejad\zibanmi01",25,"NYR","C",82,30,44,74,0.0503649693017848
"82","Joonas Donskoi\donskjo01",26,"SJS","RW",80,14,23,37,0.0501635310297882
"316","Marcus Sorensen\sorenma01",26,"SJS","RW",80,17,13,30,0.050111367235006
"328","Dylan Strome\stromdy01",21,"TOT","C",78,20,37,57,0.0479056147937396
"90","Ryan Dzingel\dzingry01",26,"TOT","C",78,26,30,56,0.0469886304303748
"125","Barclay Goodrow\goodrba01",25,"SJS","RW",82,7,10,17,0.0466552774312176
"182","Travis Konecny\konectr01",21,"PHI","C",82,24,25,49,0.045925240104706
